COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,TXT_OBS_03_EDIC,TXT_OBS_04_EDIC,TXT_OBS_05_EDIC,TXT_OBS_06_EDIC,TXT_OBS_07_EDIC,TXT_OBS_08_EDIC,TXT_OBS_09_EDIC,COD_SET_ZON_2,COD_QDR_ZON_2,COD_TIP_QDR_ZON,TXT_ZON_FINL,TXT_OBS_01_ZON,TXT_OBS_02_ZON,TXT_OBS_03_ZON,TXT_OBS_04_ZON
"054","115","022683","00","0434",AR,"2",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"054","115",HE,"AR ZC ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"044","042","243388","00","0100",VP,"3",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","042",HE,"VP ZEU ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","097","141941","00","0087",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","097",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","097","141941","00","0088",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","097",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","097","141941","00","0089",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","097",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","097","141941","00","0090",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","097",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"055","108","175765","00","0042",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","108",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","108","175765","00","0043",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","108",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"044","189","113760","00","0062",VP,"1",S,S,ZM,0,,,0,0,S,QA,1,,,0,0,MA,10,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","189",HE,"VP ZM ; VP QA / 1 ; VP MA / 10 ; BRANCO",,,,
"044","189","113760","00","0063",VP,"1",S,S,ZM,0,,,0,0,S,QA,1,,,0,0,MA,10,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","189",HE,"VP ZM ; VP QA / 1 ; VP MA / 10 ; BRANCO",,,,
"055","188","001414","00","0077",AR,"3",S,S,ZEUP,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","188",HE,"AR ZEUP ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","145","168424","00","0082",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","145",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"056","215","026735","00","0381",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"056","215",HE,"AR ZC ; AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"056","215","026735","00","0382",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"056","215",HE,"AR ZC ; AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"056","215","026735","00","0383",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"056","215",HE,"AR ZC ; AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"051","116","165174","00","0044",VP,"1",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"051","116",HE,"VP ZC ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"051","116","165174","00","0045",VP,"1",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"051","116",HE,"VP ZC ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"058","030","252085","00","0130",PE,"1",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","030",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","030","252085","00","0131",PE,"1",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","030",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","068","009873","00","0053",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","068",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","068","009873","00","0054",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","068",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"057","266","070157","00","0110",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"057","266",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"057","266","070157","00","0111",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"057","266",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"057","266","070157","00","0112",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"057","266",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"057","273","145025","00","0036",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"057","273",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"057","273","145025","00","0037",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"057","273",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","162","070564","00","0135",PE,"1",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","162",HE,"PE ZC ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","162","070564","00","0136",PE,"1",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","162",HE,"PE ZC ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","162","070564","00","0137",PE,"1",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","162",HE,"PE ZC ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","162","070564","00","0138",PE,"2",S,S,ZC,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","162",HE,"PE ZC ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"059","071","190160","00","0061",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","071",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"059","071","190160","00","0062",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","071",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"060","016","111597","00","0043",PE,"1",S,S,ZEIS-1,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","016",HE,"PE ZEIS-1 ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","016","111597","00","0044",PE,"1",S,S,ZEIS-1,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","016",HE,"PE ZEIS-1 ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","016","111597","00","0045",PE,"1",S,S,ZEIS-1,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","016",HE,"PE ZEIS-1 ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","016","111597","00","0046",PE,"1",S,S,ZEIS-1,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","016",HE,"PE ZEIS-1 ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","016","111597","00","0047",PE,"1",S,S,ZEIS-1,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","016",HE,"PE ZEIS-1 ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","020","075990","00","0026",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","020",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","020","075990","00","0027",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","020",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","046","088900","00","0035",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","046",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","277","259802","00","0038",PE,"2",S,S,ZEIS-2,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","277",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"058","229","018660","00","0043",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","229",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","229","018660","00","0044",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","229",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","229","018660","00","0045",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","229",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"060","274","138487","00","0710",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","274",HE,"PE ZEUP ; PE ZC ; PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","274","138487","00","0711",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","274",HE,"PE ZEUP ; PE ZC ; PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","046","088900","00","0036",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","046",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","046","088900","00","0037",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","046",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","126","055824","00","0092",PE,"1",S,S,ZEUP,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","126",HE,"PE ZEUP ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"060","126","055824","00","0093",PE,"1",S,S,ZEUP,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"060","126",HE,"PE ZEUP ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"061","085","170917","00","0070",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"061","085",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"061","085","170917","00","0071",PE,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"061","085",HE,"PE ZM ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"061","089","049972","00","0070",PE,"2",S,S,ZEUP,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"061","089",HE,"PE ZEUP ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"061","089","049972","00","0071",PE,"1",S,S,ZEUP,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"061","089",HE,"PE ZEUP ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"061","089","049972","00","0072",PE,"1",S,S,ZEUP,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"061","089",HE,"PE ZEUP ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"059","055","096890","00","0041",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","055",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","055","096890","00","0039",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","055",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","055","096890","00","0040",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","055",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","222","049913","00","0052",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","222",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","222","049913","00","0053",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","222",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","231","058890","00","0508",PE,"1",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","231",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"059","231","058890","00","0510",PE,"3",S,S,ZM,0,,,0,0,S,QA,2,,,0,0,MA,8,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"059","231",HE,"PE ZM ; PE QA / 2 ; PE MA / 8 ; BRANCO",,,,
"044","138","090123","00","0058",VP,"1",S,S,ZDE-2,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","138",HE,"VP ZDE-2 ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","169","017779","00","0109",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","169",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","169","017779","00","0110",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","169",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","169","017779","00","0111",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","169",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","168","163287","00","0139",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","168",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","168","163287","00","0140",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","168",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"044","168","163287","00","0141",VP,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"044","168",HE,"VP ZC ; VP ZM ; VP QA / 6 ; VP MA / 2 ; BRANCO",,,,
"055","230","020699","00","0299",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","230",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","046","131849","00","0031",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","046",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","046","131849","00","0032",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","046",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","050","112712","00","0070",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","050",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","050","173312","00","0071",AR,"2",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","050",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","230","012220","00","0300",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","230",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"055","230","012220","00","0301",AR,"1",S,S,ZM,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"055","230",HE,"AR ZM ; AR QA / 6 ; AR MA / 2 ; BRANCO",,,,
"058","032","171018","00","0158",PE,"2",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","032",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","032","171018","00","0159",PE,"1",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","032",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","032","171018","00","0160",PE,"1",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","032",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
"058","032","171018","00","0161",PE,"1",S,S,ZEU,0,,,0,0,S,QA,6,,,0,0,MA,2,,L,16050,2014,,0,,,0,0,,0,,,0,0,,0,,,0,0,,,,,,,,,,,"058","032",HE,"PE ZEU ; PE QA / 6 ; PE MA / 2 ; BRANCO",,,,
